transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
03/28/2025 04:00:00 AM,subway,320,23 St (1),Manhattan,omny,OMNY - Full Fare,9,0,40.74408,-73.99566,POINT (-73.99566 40.74408)
03/28/2025 05:00:00 AM,subway,382,Fordham Rd (4),Bronx,omny,OMNY - Full Fare,168,9,40.862804,-73.90103,POINT (-73.90103 40.862804)
03/28/2025 06:00:00 AM,subway,364,Zerega Av (6),Bronx,omny,OMNY - Students,20,0,40.836487,-73.84704,POINT (-73.84704 40.836487)
03/28/2025 11:00:00 AM,subway,135,Livonia Av (L),Brooklyn,omny,OMNY - Students,9,2,40.66404,-73.90057,POINT (-73.90057 40.66404)
03/28/2025 12:00:00 PM,subway,295,231 St (1),Bronx,omny,OMNY - Students,24,2,40.878857,-73.90483,POINT (-73.90483 40.878857)
03/28/2025 01:00:00 PM,subway,387,170 St (4),Bronx,omny,OMNY - Full Fare,92,5,40.840076,-73.91779,POINT (-73.91779 40.840076)
03/28/2025 02:00:00 PM,subway,475,96 St (Q),Manhattan,omny,OMNY - Full Fare,452,27,40.784317,-73.94715,POINT (-73.94715 40.784317)
03/28/2025 03:00:00 PM,subway,190,80 St (A),Queens,omny,OMNY - Full Fare,95,1,40.67937,-73.85899,POINT (-73.85899 40.67937)
03/28/2025 03:00:00 PM,subway,28,Union St (R),Brooklyn,omny,OMNY - Full Fare,374,1,40.677315,-73.98311,POINT (-73.98311 40.677315)
03/28/2025 06:00:00 PM,subway,179,"Nostrand Av (A,C)",Brooklyn,omny,OMNY - Students,59,0,40.68044,-73.950424,POINT (-73.950424 40.68044)
03/28/2025 12:00:00 AM,subway,78,Avenue U (N),Brooklyn,omny,OMNY - Full Fare,5,1,40.597473,-73.97913,POINT (-73.97913 40.597473)
03/28/2025 01:00:00 AM,subway,420,"219 St (2,5)",Bronx,omny,OMNY - Other,1,0,40.883896,-73.86263,POINT (-73.86263 40.883896)
03/28/2025 01:00:00 PM,subway,114,Central Av (M),Brooklyn,omny,OMNY - Full Fare,97,1,40.697857,-73.9274,POINT (-73.9274 40.697857)
03/28/2025 01:00:00 PM,subway,262,"67 Av (M,R)",Queens,omny,OMNY - Other,2,0,40.726524,-73.85272,POINT (-73.85272 40.726524)
03/28/2025 02:00:00 PM,subway,79,86 St (N),Brooklyn,omny,OMNY - Fair Fare,1,0,40.59272,-73.97823,POINT (-73.97823 40.59272)
03/28/2025 03:00:00 PM,subway,114,Central Av (M),Brooklyn,omny,OMNY - Full Fare,121,0,40.697857,-73.9274,POINT (-73.9274 40.697857)
